type,center,touches,first_date,last_date,score,score_final,distance_pct
resistance,7280.52,1,2020-04-19,2020-04-19,10,13,89.79172303964177
support,6834.44,1,2020-04-21,2020-04-21,10,13,90.41718772986673
support,8645.02,1,2020-05-04,2020-05-04,10,13,87.87850888565156
support,8374.32,1,2020-05-11,2020-05-11,10,13,88.25806701792357
resistance,9906.03,1,2020-05-18,2020-05-18,10,13,86.11040175459756
support,9458.15,1,2020-06-07,2020-06-07,10,13,86.73839028907109
resistance,9579.43,1,2020-06-16,2020-06-16,10,13,86.56833927214478
resistance,9680.37,1,2020-06-24,2020-06-24,10,13,86.42680769522741
resistance,9309.75,1,2020-07-01,2020-07-01,10,13,86.94646722600928
resistance,12359.06,1,2020-08-17,2020-08-17,10,13,82.6709208339947
support,9916.49,1,2020-09-07,2020-09-07,10,13,86.09573541524193
resistance,11134.09,1,2020-09-19,2020-09-19,10,13,84.38849499464943
support,10197.87,1,2020-09-23,2020-09-23,10,13,85.70120247376171
support,10416.69,1,2020-10-02,2020-10-02,10,13,85.39438714127645
resistance,13184.57,1,2020-10-21,2020-10-21,10,13,81.51344379752679
resistance,14028.21,1,2020-10-31,2020-10-31,10,13,80.33054604093294
resistance,15903.44,1,2020-11-06,2020-11-06,10,13,77.70121912412307
resistance,19390.96,1,2020-11-25,2020-11-25,10,13,72.8112428497926
support,17619.53,1,2020-12-11,2020-12-11,10,13,75.29502808160123
support,22159.37,1,2020-12-21,2020-12-21,10,13,68.9295563741253
resistance,41946.74,1,2021-01-08,2021-01-08,10,13,41.18497861359671
support,6048.26,1,2018-02-06,2018-02-06,10,13,91.51951876950324
resistance,9177.37,1,2018-03-21,2018-03-21,10,13,87.13208194913511
support,6575.0,1,2018-04-06,2018-04-06,10,13,90.78095781422819
resistance,9745.32,1,2018-04-25,2018-04-25,10,13,86.33573898192462
support,8891.05,1,2018-05-01,2018-05-01,10,13,87.53354144094199
support,8223.5,1,2018-05-12,2018-05-12,10,13,88.46953712324039
support,7974.82,1,2018-05-18,2018-05-18,10,13,88.81822022753815
resistance,8562.41,1,2018-05-20,2018-05-20,10,13,87.99433931530427
support,7090.68,1,2018-05-29,2018-05-29,10,13,90.05790447972495
support,6136.42,1,2018-07-12,2018-07-12,10,13,91.39590648675076
support,7262.41,1,2018-07-21,2018-07-21,10,13,89.81711571705382
resistance,8424.27,1,2018-07-24,2018-07-24,10,13,88.18803034002556
support,5971.05,1,2018-08-14,2018-08-14,10,13,91.62777766641022
resistance,7388.43,1,2018-09-05,2018-09-05,10,13,89.64041857693962
